"","yearSeason","slugSeason","slugTeam","idPlayer","namePlayer","idTeam","yearSeasonStart","numberJersey","countYearsExperience","weightLBS","heightInches","nameTeam","groupPosition","dateBirth","nameSchool","agePlayer","urlTeamSeasonLogo","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"1",2025,"2024-25","ATL",1631210,"Jacob Toppin",1610612737,2024,0,1,200,80,"Jacob","F",2000-05-08,"Kentucky",24,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1631210","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631210.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631210.png","https://stats.nba.com/media/players/700/1631210.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"2",2025,"2024-25","ATL",1630552,"Jalen Johnson",1610612737,2024,1,3,219,80,"Jalen","F",2001-12-18,"Duke",23,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1630552","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png","https://stats.nba.com/media/players/700/1630552.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"3",2025,"2024-25","ATL",1630811,"Keaton Wallace",1610612737,2024,2,0,185,75,"Keaton","G",1999-02-26,"Texas-San Antonio",26,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1630811","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630811.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630811.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4",2025,"2024-25","ATL",1627747,"Caris LeVert",1610612737,2024,3,8,205,78,"Caris","G",1994-08-25,"Michigan",30,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1627747","https://stats.nba.com/media/players/230x185/1627747.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png","https://stats.nba.com/media/players/700/1627747.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png"
"5",2025,"2024-25","ATL",1641723,"Kobe Bufkin",1610612737,2024,4,1,195,76,"Kobe","G",2003-09-21,"Michigan",21,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1641723","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641723.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641723.png","https://stats.nba.com/media/players/700/1641723.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"6",2025,"2024-25","ATL",1630700,"Dyson Daniels",1610612737,2024,5,2,199,79,"Dyson","G",2003-03-17,"NBA G League Ignite",22,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1630700","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png","https://stats.nba.com/media/players/700/1630700.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"7",2025,"2024-25","ATL",1642258,"Zaccharie Risacher",1610612737,2024,10,0,200,80,"Zaccharie","F",2005-04-08,"JL Bourg-en-Bresse",20,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1642258","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642258.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642258.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"8",2025,"2024-25","ATL",1629027,"Trae Young",1610612737,2024,11,6,164,73,"Trae","G",1998-09-19,"Oklahoma",26,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1629027","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png","https://stats.nba.com/media/players/700/1629027.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png"
"9",2025,"2024-25","ATL",1629611,"Terance Mann",1610612737,2024,14,5,215,77,"Terance","G-F",1996-10-18,"Florida State",28,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1629611","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629611.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629611.png","https://stats.nba.com/media/players/700/1629611.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"10",2025,"2024-25","ATL",203991,"Clint Capela",1610612737,2024,15,10,256,82,"Clint","C",1994-05-18,"Elan Chalon",30,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/203991","https://stats.nba.com/media/players/230x185/203991.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png","https://stats.nba.com/media/players/700/203991.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png"
"11",2025,"2024-25","ATL",1630168,"Onyeka Okongwu",1610612737,2024,17,4,240,82,"Onyeka","F-C",2000-12-11,"Southern California",24,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1630168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630168.png","https://stats.nba.com/media/players/700/1630168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"12",2025,"2024-25","ATL",1631243,"Mouhamed Gueye",1610612737,2024,18,1,210,82,"Mouhamed","F",2002-11-09,"Washington State",22,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1631243","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631243.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631243.png","https://stats.nba.com/media/players/700/1631243.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"13",2025,"2024-25","ATL",1627777,"Georges Niang",1610612737,2024,20,8,230,79,"Georges","F",1993-06-17,"Iowa State",31,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1627777","https://stats.nba.com/media/players/230x185/1627777.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627777.png","https://stats.nba.com/media/players/700/1627777.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627777.png"
"14",2025,"2024-25","ATL",1626204,"Larry Nance Jr.",1610612737,2024,22,9,245,80,"Larry","F-C",1993-01-01,"Wyoming",32,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1626204","https://stats.nba.com/media/players/230x185/1626204.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626204.png","https://stats.nba.com/media/players/700/1626204.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626204.png"
"15",2025,"2024-25","ATL",1629726,"Garrison Mathews",1610612737,2024,24,5,215,78,"Garrison","G",1996-10-24,"Lipscomb",28,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1629726","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629726.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629726.png","https://stats.nba.com/media/players/700/1629726.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"16",2025,"2024-25","ATL",1631230,"Dominick Barlow",1610612737,2024,26,2,215,80,"Dominick","F",2003-05-26,"Overtime Elite",21,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1631230","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631230.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631230.png","https://stats.nba.com/media/players/700/1631230.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"17",2025,"2024-25","ATL",1630249,"Vít Krejčí",1610612737,2024,27,3,195,80,"Vít","G",2000-06-19,"Zaragoza",24,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1630249","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630249.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630249.png","https://stats.nba.com/media/players/700/1630249.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"18",2025,"2024-25","ATL",1631342,"Daeqwon Plowden",1610612737,2024,29,0,216,78,"Daeqwon","G-F",1998-08-29,"Bowling Green",26,"https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg","https://stats.nba.com/player/1631342","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631342.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631342.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
