yearSeason,slugSeason,slugTeam,idPlayer,namePlayer,idTeam,yearSeasonStart,numberJersey,countYearsExperience,weightLBS,heightInches,nameTeam,groupPosition,dateBirth,nameSchool,agePlayer,urlTeamSeasonLogo,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,urlPlayerPhoto,Include
2025,2024-25,ATL,1630811,Keaton Wallace,1610612737,2024,NA,0,185,75,Keaton,G,2/26/1999,Texas-San Antonio,25,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1630811,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630811.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630811.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,1630552,Jalen Johnson,1610612737,2024,1,3,219,80,Jalen,F,12/18/2001,Duke,22,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1630552,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png,https://stats.nba.com/media/players/700/1630552.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,1641754,Seth Lundy,1610612737,2024,3,1,220,76,Seth,G-F,4/2/2000,Penn State,24,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1641754,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641754.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641754.png,https://stats.nba.com/media/players/700/1641754.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,1641723,Kobe Bufkin,1610612737,2024,4,1,195,77,Kobe,G,9/21/2003,Michigan,21,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1641723,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641723.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641723.png,https://stats.nba.com/media/players/700/1641723.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,1630284,Kevon Harris,1610612737,2024,8,2,216,77,Kevon,G,6/24/1997,Stephen F. Austin,27,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1630284,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630284.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630284.png,https://stats.nba.com/media/players/700/1630284.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,1642258,Zaccharie Risacher,1610612737,2024,10,0,200,81,Zaccharie,F,4/8/2005,JL Bourg-en-Bresse,19,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1642258,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642258.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642258.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,1629027,Trae Young,1610612737,2024,11,6,164,73,Trae,G,9/19/1998,Oklahoma,26,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1629027,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png,https://stats.nba.com/media/players/700/1629027.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png,Y
2025,2024-25,ATL,1630700,Dyson Daniels,1610612737,2024,11,2,199,79,Dyson,G,3/17/2003,NBA G League Ignite,21,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1630700,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png,https://stats.nba.com/media/players/700/1630700.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,1629631,De'Andre Hunter,1610612737,2024,12,5,221,80,De'Andre,F-G,12/2/1997,Virginia,26,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/1629631,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png,https://stats.nba.com/media/players/700/1629631.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,
2025,2024-25,ATL,203992,Bogdan Bogdanović,1610612737,2024,13,7,225,77,Bogdan,G,8/18/1992,Fenerbahce,32,https://stats.nba.com/media/img/teams/logos/season/2024-25/ATL_logo.svg,https://stats.nba.com/player/203992,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png,https://stats.nba.com/media/players/700/203992.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png,Y
